species,plant_id,gyn_width,hood_length,hood_height,horn_reach,slit_length,gap_width,display_flowers_1day,removals_per_flower,insertions_per_flower,fruits,total_flower_quantity,poll_duration_per10min_noflies,poll_visits_per10min_noflies
Asyr,AS01,0.219,0.3557,0.5095,0.2038,0.1918,0.0464,168,3.0308,0.3231,7,325,0.512,0.48
Asyr,AS02,0.2042,0.2776,0.5293,0.182,0.1843,0.0597,120,3.0732,1.0244,3,369,0.375,2.413
Asyr,AS03,0.2233,0.2771,0.5083,0.1809,0.1687,0.0664,117,0.3226,0.1935,10,372,0,0
Asyr,AS04,0.2081,0.2403,0.4241,0.152,0.1796,0.0515,76,1.2475,0.297,3,303,0.188,0.665
Asyr,AS05,0.2136,0.3544,0.5368,0.194,0.1842,0.0459,148,3.5573,0.9008,3,262,4.736,11.667
Asyr,AS07,0.2276,0.2984,0.4867,0.2161,0.1953,0.084,61,1.5,0.24,1,150,2.138,0.668
Asyr,AS08,0.2103,0.3155,0.439,0.1806,0.1967,0.0581,69,0.1833,0.3333,0,90,0,0
Asyr,AS09,0.2261,0.3385,0.5744,0.2101,0.1898,0.0597,388,2.5053,0.3915,1,421.5,8.181,5.167
Asyr,AS10,0.2214,0.3508,0.5406,0.2295,0.1997,0.0525,47,2.02,0.56,0,50,0,0
Asyr,AS11,0.2175,0.3166,0.432,0.1501,0.1746,0.0535,35,0.1389,0.0278,0,36,3.41,0.628
Asyr,AS13,0.2244,0.3107,0.5558,0.2061,0.1962,0.0621,82,0.1529,0.2,3,170,3.119,4.823
Asyr,AS14,0.212,0.3787,0.5118,0.2238,0.1944,0.0717,156,2.2019,0.4423,8,416,1.025,1.893
Asyr,AS15,0.2015,0.2585,0.4833,0.1651,0.2002,0.0484,97,1.6875,0.0938,1,144,0,0
Asyr,AS16,0.2307,0.3053,0.4618,0.2231,0.2051,0.0625,52,0.5882,0.0294,9,68,0,0
Asyr,AS17,0.2406,0.3191,0.4587,0.1438,0.1993,0.055,96,0.5577,0.4712,5,312,0.417,2.889
Asyr,AS18,0.2359,0.354,0.6035,0.2664,0.205,0.0668,262,2.1421,0.2183,28,295.5,9.704,2.961
Asyr,AS19,0.1994,0.3142,0.4875,0.191,0.1813,0.0547,195,1.9128,0.344,10,290.7,6.473,2.995
Asyr,AS20,0.1993,0.313,0.4717,0.1787,0.1805,0.0678,192,4.125,0.5598,4,183,2.768,3.974
Asyr,AS21,0.2231,0.2705,0.4371,0.1782,0.159,0.0608,90,0.5909,0.5455,4,132,0,0
Asyr,AS22,0.206,0.285,0.5098,0.1748,0.1761,0.056,,0.525,0.35,,,,
Asyr,AS23,0.218,0.3123,0.4961,0.1889,0.1976,0.0766,62,0.338,0.3662,3,118.3,3.512,2.473
Asyr,AS24,0.2206,0.3569,0.5216,0.2324,0.201,0.0802,56,0.5636,0.3455,2,73.3,1.833,1.946
Asyr,AS25,0.2319,0.3043,0.5629,0.2024,0.2099,0.0716,54,1.6545,0.2,7,165,0.039,0.773
Asyr,AS26,0.223,0.3762,0.5371,0.2473,0.1905,0.0585,129,3.1692,0.5923,6,195,3.287,3.721
Asyr,AS27,0.2247,0.3172,0.4504,0.1743,0.1965,0.027,199,3,0.5089,15,336,2.823,7.207
Asyr,AS28,0.2285,0.4364,0.5487,0.2483,0.1863,0.0715,102,3.5294,0.8725,13,306,4.75,8.824
Asyr,AS29,0.2251,0.3767,0.598,0.2863,0.1952,0.0649,246,2.2195,0.1646,20,410,0.606,0.909
Asyr,AS30,0.2199,0.3068,0.4943,0.2145,0.2009,0.0775,81,0.4286,0.4675,7,77,9.12,1.993
Asyr,AS31,0.2237,0.3089,0.527,0.2288,0.1948,0.0792,132,0.6222,0.4148,5,180,3.907,5.008
Asyr,AS32,0.225,0.3174,0.4717,0.199,0.1841,0.049,,2.759,0.3976,,,,
Asyr,AS33,0.2145,0.3897,0.5057,0.2766,0.1977,0.0561,149,2.5704,0.1926,6,180,9.911,1.775
Asyr,AS34,0.2126,0.2586,0.5233,0.1739,0.1975,0.053,115,3.2655,0.8319,9,169.5,12.073,5.446
Asyr,AS35,0.2315,0.3653,0.5361,0.2184,0.1986,0.0521,107,3.181,0.9048,12,245,11.05,7.5
Asyr,AS36,0.1988,0.3655,0.4897,0.2284,0.2006,0.05,72,0.4667,0.4444,3,120,0,0
Asyr,AS37,0.2157,0.3055,0.5633,0.18,0.196,0.0557,45,4,0.4667,3,180,0.84,2.479
Asyr,AS39,0.2413,0.3285,0.4883,0.185,0.1962,0.0514,94,3,0.73,4,150,1.838,4.967
Asyr,AS40,0.2338,0.3254,0.479,0.2006,0.1781,0.0502,21,2.0909,0.2273,5,44,0,0
Asyr,AS41,0.2102,0.2832,0.5662,0.2242,0.1778,0.0649,66,2.6944,0.3194,4,144,3.971,5.294
Asyr,AS42,0.2223,0.4109,0.5334,0.2279,0.1956,0.0779,78,3.9867,0.48,11,150,1.386,1.98
Asyr,AS44,0.2097,0.3028,0.4873,0.2237,0.1787,0.0551,125,2.4833,0.4,8,200,0,0
Asyr,AS45,0.2333,0.3383,0.5469,0.2185,0.1894,0.0554,94,2.3587,0.2609,1,92,0,0
Asyr,AS47,0.2119,0.3792,0.5237,0.2152,0.1671,0.0812,66,2.4394,0.3485,2,66,0,0
Asyr,AS48,0.2026,0.3082,0.4613,0.1211,0.1703,0.075,,3.3836,0.2603,,,,
Asyr,AS49,0.1927,0.2647,0.4686,0.2135,0.1735,0.064,124,2.0645,0.371,3,124,3.874,0.772
Asyr,AS50,0.233,0.3239,0.5399,0.1996,0.1983,0.0726,68,2.4,0.7538,1,65,0,0
