tree,site,species,status,age,DBH
BIS84003,Bistra,Abies_alba,LIVING,154,46.932
BIS84004,Bistra,Abies_alba,LIVING,113,36.994
BIS84006,Bistra,Abies_alba,LIVING,129,45.332
BIS84007,Bistra,Abies_alba,LIVING,158,52.522
BIS84009,Bistra,Abies_alba,LIVING,148,39.54
BIS84010,Bistra,Abies_alba,LIVING,147,41.034
BIS84016,Bistra,Abies_alba,LIVING,161,50.362
BIS84019,Bistra,Abies_alba,LIVING,165,43.018
BIS84021,Bistra,Abies_alba,LIVING,144,46.884
BIS84022,Bistra,Abies_alba,LIVING,161,47.408
BIS84023,Bistra,Abies_alba,LIVING,146,45.636
BIS8603,Bistra,Abies_alba,LIVING,160,58.952
BIS89038,Bistra,Abies_alba,LIVING,122,38.276
BIS89039,Bistra,Abies_alba,LIVING,115,46.534
BIS89127,Bistra,Abies_alba,LIVING,118,51.074
BIS89144,Bistra,Abies_alba,DEAD,152,57.912
BIS89147,Bistra,Abies_alba,DEAD,190,57.804
BIS89160,Bistra,Abies_alba,LIVING,144,54.032
BIS89161,Bistra,Abies_alba,LIVING,170,52.812
RAV94003,Ravnik,Abies_alba,LIVING,151,27.692
RAV94016,Ravnik,Abies_alba,LIVING,88,49.686
RAV94018,Ravnik,Abies_alba,LIVING,105,35.224
RAV94026,Ravnik,Abies_alba,LIVING,82,24.506
RAV94030,Ravnik,Abies_alba,LIVING,199,36.014
RAV94033,Ravnik,Abies_alba,LIVING,187,55.092
RAV94050,Ravnik,Abies_alba,LIVING,133,49.33
RAV94060,Ravnik,Abies_alba,LIVING,111,30.558
RAV94065,Ravnik,Abies_alba,LIVING,98,48.28
RAV97093,Ravnik,Abies_alba,LIVING,121,65.488
RAV97112,Ravnik,Abies_alba,LIVING,129,38.276
RAV97157,Ravnik,Abies_alba,LIVING,115,51.756
RAV97170,Ravnik,Abies_alba,LIVING,109,30.22
RAV97177,Ravnik,Abies_alba,LIVING,124,46.768
RAV97223,Ravnik,Abies_alba,LIVING,175,42.368
RAV97227,Ravnik,Abies_alba,LIVING,106,31.686
RAV01069,Ravnik,Abies_alba,DEAD,182,43.702
RAV01188,Ravnik,Abies_alba,DEAD,112,53.086
RAV01194,Ravnik,Abies_alba,DEAD,100,31.706
RAV01401,Ravnik,Abies_alba,DEAD,177,52.068
RAV01402,Ravnik,Abies_alba,DEAD,217,46.712
RAV01403,Ravnik,Abies_alba,DEAD,92,44.57
RAV01404,Ravnik,Abies_alba,DEAD,90,51.618
RAV01405,Ravnik,Abies_alba,DEAD,112,44.164
RAV01406,Ravnik,Abies_alba,DEAD,102,55.096
RAV01407,Ravnik,Abies_alba,DEAD,172,41.548
RAV01408,Ravnik,Abies_alba,DEAD,183,49.158
RAV01409,Ravnik,Abies_alba,DEAD,120,42.478
RAV01410,Ravnik,Abies_alba,DEAD,166,35.488
RAV01411,Ravnik,Abies_alba,DEAD,153,35.906
RAV01412,Ravnik,Abies_alba,DEAD,148,27.952
RAV01413,Ravnik,Abies_alba,DEAD,165,42.858
Dves3_S1,Vesubie3,Abies_alba,LIVING,100,42.0648
Dves3_S2,Vesubie3,Abies_alba,LIVING,112,43.4912
Dves3_S4,Vesubie3,Abies_alba,LIVING,104,35.0526
Dves3_S5,Vesubie3,Abies_alba,LIVING,112,37.2752
Dves3_S6,Vesubie3,Abies_alba,LIVING,107,26.0898
Dves3_S7,Vesubie3,Abies_alba,LIVING,87,25.3544
Dves3_S8,Vesubie3,Abies_alba,DEAD,90,31.138
Dves3_S13,Vesubie3,Abies_alba,LIVING,113,28.008
Dves3_S14,Vesubie3,Abies_alba,DEAD,107,34.6422
Dves3_S15,Vesubie3,Abies_alba,DEAD,101,32.717
Dves3_S16,Vesubie3,Abies_alba,DEAD,90,26.9486
Dves3_S17,Vesubie3,Abies_alba,DEAD,87,23.1756
Dves3_S18,Vesubie3,Abies_alba,DEAD,86,16.5168
Dves3_S20,Vesubie3,Abies_alba,DEAD,100,28.1788
Dves3_S21,Vesubie3,Abies_alba,DEAD,106,31.494
Dves3_3.1,Vesubie3,Abies_alba,LIVING,81,21.2462
Dves3_3.2,Vesubie3,Abies_alba,LIVING,99,56.9634
Dves3_3.3,Vesubie3,Abies_alba,LIVING,95,55.0982
Dves3_3.5,Vesubie3,Abies_alba,LIVING,112,35.527
Dves3_3.7,Vesubie3,Abies_alba,LIVING,108,23.9172
Dves3_101,Vesubie3,Abies_alba,LIVING,102,42.4686
Dves3_106,Vesubie3,Abies_alba,DEAD,94,24.8666
Dves3_107,Vesubie3,Abies_alba,LIVING,80,32.126
Dves3_108,Vesubie3,Abies_alba,LIVING,96,34.2256
Dves3_112,Vesubie3,Abies_alba,LIVING,109,51.5256
Dves3_113,Vesubie3,Abies_alba,LIVING,99,45.6372
Dves6_S1,Vesubie6,Abies_alba,LIVING,159,60.3274
Dves6_S3,Vesubie6,Abies_alba,LIVING,164,81.0426
Dves6_S4,Vesubie6,Abies_alba,LIVING,191,64.4948
Dves6_S5,Vesubie6,Abies_alba,LIVING,162,51.208
Dves6_S6,Vesubie6,Abies_alba,LIVING,144,28.164
Dves6_S7,Vesubie6,Abies_alba,LIVING,140,41.2816
Dves6_S8,Vesubie6,Abies_alba,LIVING,142,58.0584
Dves6_S9,Vesubie6,Abies_alba,LIVING,159,60.2606
Dves6_S11,Vesubie6,Abies_alba,LIVING,142,53.3578
Dves6_S12,Vesubie6,Abies_alba,LIVING,136,38.5494
Dves6_S13,Vesubie6,Abies_alba,LIVING,135,46.3556
Dves6_S14,Vesubie6,Abies_alba,LIVING,157,50.0586
Dves6_S16,Vesubie6,Abies_alba,DEAD,144,31.5114
Dvx1_S40,Ventoux_Dvx1,Abies_alba,DEAD,72,32.0546
Dvx1_S41,Ventoux_Dvx1,Abies_alba,DEAD,78,16.6958
Dvx1_S63,Ventoux_Dvx1,Abies_alba,DEAD,91,28.6314
Dvx1_ext1,Ventoux_Dvx1,Abies_alba,LIVING,74,22.4964
Dvx1_ext3,Ventoux_Dvx1,Abies_alba,LIVING,77,26.9059
Dvx1_ext4,Ventoux_Dvx1,Abies_alba,LIVING,73,27.9184
Dvx1_ext5,Ventoux_Dvx1,Abies_alba,LIVING,66,30.3954
Dvx1_ext6,Ventoux_Dvx1,Abies_alba,LIVING,76,28.1366
Dvx1_ext7,Ventoux_Dvx1,Abies_alba,LIVING,63,21.6718
Dvx1_ext8,Ventoux_Dvx1,Abies_alba,LIVING,78,22.3378
Dvx1_ext10,Ventoux_Dvx1,Abies_alba,LIVING,49,20.7302
Dvx1_ext11,Ventoux_Dvx1,Abies_alba,LIVING,87,30.409
Dvx1_ext12,Ventoux_Dvx1,Abies_alba,LIVING,79,29.8808
Dvx1_ext14,Ventoux_Dvx1,Abies_alba,LIVING,59,19.1302
Dvx1_ext15,Ventoux_Dvx1,Abies_alba,LIVING,66,33.749
Dvx1_ext16,Ventoux_Dvx1,Abies_alba,DEAD,84,44.8876
Dvx1_ext18,Ventoux_Dvx1,Abies_alba,DEAD,71,21.311
Dvx1_ext19,Ventoux_Dvx1,Abies_alba,DEAD,98,29.5478
Dvx1_ext20,Ventoux_Dvx1,Abies_alba,DEAD,82,26.7916
Dvx1_ext21,Ventoux_Dvx1,Abies_alba,DEAD,86,18.9666
Dvx2_S1,Ventoux_Dvx2,Abies_alba,LIVING,90,38.6796
Dvx2_S2,Ventoux_Dvx2,Abies_alba,LIVING,83,35.0284
Dvx2_S3,Ventoux_Dvx2,Abies_alba,LIVING,72,34.9722
Dvx2_S4,Ventoux_Dvx2,Abies_alba,LIVING,76,39.1496
Dvx2_S5,Ventoux_Dvx2,Abies_alba,LIVING,55,37.4412
Dvx2_S6,Ventoux_Dvx2,Abies_alba,LIVING,55,21.9476
Dvx2_S7,Ventoux_Dvx2,Abies_alba,DEAD,51,19.7798
Dvx2_S8,Ventoux_Dvx2,Abies_alba,DEAD,60,25.596
Dvx2_S9,Ventoux_Dvx2,Abies_alba,DEAD,61,19.6626
Dvx2_S10,Ventoux_Dvx2,Abies_alba,DEAD,67,28.4144
Dvx2_S11,Ventoux_Dvx2,Abies_alba,DEAD,62,26.2012
Dvx2_S12,Ventoux_Dvx2,Abies_alba,DEAD,66,24.683
Dvx2_S13,Ventoux_Dvx2,Abies_alba,LIVING,62,27.9336
Dvx2_S14,Ventoux_Dvx2,Abies_alba,DEAD,50,20.147
Dvx2_S15,Ventoux_Dvx2,Abies_alba,LIVING,65,21.292
